States,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andhra Pradesh,2,2,1,5,1,2,47,124,236,655,173,9,49,126,237,660,174,11
Arunachal Pradesh,0,0,0,0,0,0,4,7,0,31,0,0,4,7,0,31,0,0
Assam,0,0,0,5,2,0,2,5,20,844,539,21,2,5,20,849,541,21
Bihar,0,0,0,1,2,0,0,11,80,1027,157,24,0,11,80,1028,159,24
Chhattisgarh,0,3,15,12,1,0,24,77,292,376,175,3,24,80,307,388,176,3
Goa,0,0,0,0,0,0,1,6,11,7,3,2,1,6,11,7,3,2
Gujarat,0,1,2,1,0,0,15,26,55,216,57,1,15,27,57,217,57,1
Haryana,0,1,2,4,0,1,10,21,36,491,61,4,10,22,38,495,61,5
Himachal Pradesh,0,1,0,0,0,0,8,15,44,68,20,1,8,16,44,68,20,1
Jammu & Kashmir,0,0,0,0,0,0,2,0,3,155,59,0,2,0,3,155,59,0
Jharkhand,0,0,0,7,5,0,1,2,5,655,114,2,1,2,5,662,119,2
Karnataka,0,0,0,0,0,0,21,24,52,301,47,1,21,24,52,301,47,1
Kerala,0,6,6,4,1,0,27,45,133,270,72,6,27,51,139,274,73,6
Madhya Pradesh,3,9,20,15,5,0,66,218,576,1533,472,20,69,227,596,1548,477,20
Maharashtra,4,5,8,11,6,1,114,130,433,696,155,4,118,135,441,707,161,5
Manipur,0,0,0,0,0,0,9,8,8,12,1,0,9,8,8,12,1,0
Meghalaya,1,3,0,1,0,0,5,14,14,46,4,0,6,17,14,47,4,0
Mizoram,0,1,1,1,0,0,9,3,4,48,10,0,9,4,5,49,10,0
Nagaland,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,19,0,0
Orissa,2,0,1,13,1,0,15,27,23,632,387,12,17,27,24,645,388,12
Punjab,0,0,0,1,1,0,27,36,45,358,46,5,27,36,45,359,47,5
Rajasthan,2,6,7,21,4,0,27,110,268,685,215,10,29,116,275,706,219,10
Sikkim,1,0,0,0,0,0,8,3,1,8,0,0,9,3,1,8,0,0
Tamil Nadu,1,0,0,0,0,0,26,29,131,340,46,0,27,29,131,340,46,0
Tripura,0,0,0,0,0,0,16,23,65,96,4,0,16,23,65,96,4,0
Uttar Pradesh,0,0,0,0,1,0,44,171,685,785,185,0,44,171,685,785,186,0
Uttarakhand,0,2,1,2,1,0,0,2,4,62,13,0,0,4,5,64,14,0
West Bengal,5,2,1,1,0,0,17,51,53,1628,504,1,22,53,54,1629,504,1
